round,selected_turn_id,max_entropy,min_confidence,select_turn_per_round_time
0,PMUL1392-1,0,0,33923.06227016449
0,PMUL4223-7,0,0,33923.06227016449
0,MUL2239-8,0,0,33923.06227016449
0,SSNG0263-0,0,0,33923.06227016449
0,PMUL0560-3,0,0,33923.06227016449
0,SNG01537-6,0,0,33923.06227016449
0,PMUL3381-4,0,0,33923.06227016449
0,PMUL1102-0,0,0,33923.06227016449
0,PMUL1127-1,0,0,33923.06227016449
0,MUL2030-4,0,0,33923.06227016449
0,PMUL2508-3,0,0,33923.06227016449
0,MUL0167-6,0,0,33923.06227016449
0,WOZ20579-1,0,0,33923.06227016449
0,PMUL0035-1,0,0,33923.06227016449
0,MUL0786-8,0,0,33923.06227016449
0,PMUL2528-3,0,0,33923.06227016449
0,PMUL4838-2,0,0,33923.06227016449
0,PMUL2476-1,0,0,33923.06227016449
0,PMUL4801-5,0,0,33923.06227016449
0,SSNG0032-3,0,0,33923.06227016449
0,MUL2327-1,0,0,33923.06227016449
0,PMUL0003-2,0,0,33923.06227016449
0,SSNG0315-1,0,0,33923.06227016449
0,PMUL2994-6,0,0,33923.06227016449
0,MUL1671-0,0,0,33923.06227016449
0,PMUL3243-5,0,0,33923.06227016449
0,SNG1375-3,0,0,33923.06227016449
0,MUL1846-4,0,0,33923.06227016449
0,SNG01238-0,0,0,33923.06227016449
0,SSNG0136-3,0,0,33923.06227016449
0,PMUL0381-4,0,0,33923.06227016449
0,PMUL2329-5,0,0,33923.06227016449
0,PMUL3792-3,0,0,33923.06227016449
0,MUL0730-5,0,0,33923.06227016449
0,SNG0359-2,0,0,33923.06227016449
0,WOZ20355-1,0,0,33923.06227016449
0,SSNG0130-0,0,0,33923.06227016449
0,MUL0616-3,0,0,33923.06227016449
0,WOZ20379-5,0,0,33923.06227016449
0,PMUL4030-4,0,0,33923.06227016449
0,SNG0419-0,0,0,33923.06227016449
0,WOZ20174-1,0,0,33923.06227016449
0,MUL0561-0,0,0,33923.06227016449
0,PMUL1268-4,0,0,33923.06227016449
0,PMUL2292-0,0,0,33923.06227016449
0,WOZ20608-3,0,0,33923.06227016449
0,WOZ20124-0,0,0,33923.06227016449
0,MUL1778-0,0,0,33923.06227016449
0,MUL2485-6,0,0,33923.06227016449
0,PMUL4722-0,0,0,33923.06227016449
0,MUL1602-8,0,0,33923.06227016449
0,PMUL3584-4,0,0,33923.06227016449
0,SNG1161-2,0,0,33923.06227016449
0,PMUL4991-5,0,0,33923.06227016449
0,PMUL2678-9,0,0,33923.06227016449
0,MUL0381-3,0,0,33923.06227016449
0,MUL1430-9,0,0,33923.06227016449
0,SNG0301-2,0,0,33923.06227016449
0,PMUL2843-1,0,0,33923.06227016449
0,SNG0474-5,0,0,33923.06227016449
0,MUL0024-6,0,0,33923.06227016449
0,PMUL1830-7,0,0,33923.06227016449
0,PMUL0997-3,0,0,33923.06227016449
0,PMUL1572-3,0,0,33923.06227016449
0,MUL0973-0,0,0,33923.06227016449
0,PMUL0097-1,0,0,33923.06227016449
0,MUL0038-6,0,0,33923.06227016449
0,WOZ20320-1,0,0,33923.06227016449
0,PMUL4102-7,0,0,33923.06227016449
0,PMUL1068-1,0,0,33923.06227016449
0,MUL0403-5,0,0,33923.06227016449
0,PMUL2165-7,0,0,33923.06227016449
0,PMUL2459-2,0,0,33923.06227016449
0,PMUL1375-2,0,0,33923.06227016449
0,PMUL0022-7,0,0,33923.06227016449
0,MUL1138-3,0,0,33923.06227016449
0,PMUL0192-2,0,0,33923.06227016449
0,PMUL4737-5,0,0,33923.06227016449
0,WOZ20550-2,0,0,33923.06227016449
0,MUL0319-6,0,0,33923.06227016449
0,MUL1402-2,0,0,33923.06227016449
0,SNG01908-2,0,0,33923.06227016449
0,PMUL4350-4,0,0,33923.06227016449
0,PMUL2059-7,0,0,33923.06227016449
0,MUL0382-1,0,0,33923.06227016449
0,SSNG0182-0,0,0,33923.06227016449
0,MUL1436-6,0,0,33923.06227016449
0,MUL0112-0,0,0,33923.06227016449
0,PMUL0060-2,0,0,33923.06227016449
0,PMUL1097-3,0,0,33923.06227016449
0,MUL0001-4,0,0,33923.06227016449
0,MUL0258-6,0,0,33923.06227016449
0,MUL0664-1,0,0,33923.06227016449
0,MUL0824-4,0,0,33923.06227016449
0,SNG01275-2,0,0,33923.06227016449
0,MUL2057-2,0,0,33923.06227016449
0,WOZ20186-2,0,0,33923.06227016449
0,MUL0193-6,0,0,33923.06227016449
0,MUL0735-4,0,0,33923.06227016449
0,PMUL1726-2,0,0,33923.06227016449
0,SNG1304-0,0,0,33923.06227016449
0,SNG1305-1,0,0,33923.06227016449
0,MUL1373-7,0,0,33923.06227016449
0,MUL1524-4,0,0,33923.06227016449
0,SNG0259-1,0,0,33923.06227016449
0,PMUL4409-1,0,0,33923.06227016449
0,PMUL2738-5,0,0,33923.06227016449
0,PMUL2611-5,0,0,33923.06227016449
0,MUL2339-5,0,0,33923.06227016449
0,MUL0970-7,0,0,33923.06227016449
0,PMUL0940-2,0,0,33923.06227016449
0,PMUL1549-6,0,0,33923.06227016449
0,MUL0529-3,0,0,33923.06227016449
0,PMUL4278-0,0,0,33923.06227016449
0,PMUL3944-1,0,0,33923.06227016449
0,MUL0649-1,0,0,33923.06227016449
0,PMUL1663-7,0,0,33923.06227016449
0,PMUL4039-2,0,0,33923.06227016449
0,WOZ20360-1,0,0,33923.06227016449
0,MUL0679-8,0,0,33923.06227016449
0,WOZ20314-2,0,0,33923.06227016449
