round,selected_turn_id,max_entropy,least_confidence,select_turn_per_round_time
-1,SNG1174-0,0,0,0
-1,PMUL1539-1,0,0,0
-1,PMUL0951-12,0,0,0
-1,PMUL1694-6,0,0,0
-1,PMUL1845-4,0,0,0
-1,MUL0066-0,0,0,0
-1,SNG0584-1,0,0,0
-1,MUL2689-4,0,0,0
-1,PMUL0292-0,0,0,0
-1,PMUL2143-8,0,0,0
-1,PMUL1587-5,0,0,0
-1,PMUL0366-6,0,0,0
-1,PMUL4607-8,0,0,0
-1,SNG0339-0,0,0,0
-1,PMUL4434-4,0,0,0
-1,MUL1178-5,0,0,0
-1,PMUL4153-2,0,0,0
-1,PMUL3201-6,0,0,0
-1,PMUL3251-7,0,0,0
-1,PMUL1415-2,0,0,0
-1,MUL2045-3,0,0,0
-1,PMUL1131-5,0,0,0
-1,SNG0868-0,0,0,0
-1,SSNG0270-3,0,0,0
-1,WOZ20244-1,0,0,0
-1,PMUL0192-2,0,0,0
-1,MUL0139-10,0,0,0
-1,MUL2684-4,0,0,0
-1,PMUL0793-7,0,0,0
-1,PMUL3447-5,0,0,0
-1,PMUL2084-4,0,0,0
-1,PMUL3468-0,0,0,0
-1,WOZ20023-0,0,0,0
-1,PMUL0525-4,0,0,0
-1,PMUL1704-1,0,0,0
-1,PMUL1967-7,0,0,0
-1,MUL0320-1,0,0,0
-1,MUL1184-13,0,0,0
-1,PMUL3438-2,0,0,0
-1,SSNG0392-2,0,0,0
-1,SSNG0178-2,0,0,0
-1,PMUL2359-0,0,0,0
-1,WOZ20082-3,0,0,0
-1,SNG0307-0,0,0,0
-1,MUL1726-5,0,0,0
-1,SSNG0089-2,0,0,0
-1,PMUL2479-5,0,0,0
-1,PMUL3989-4,0,0,0
-1,PMUL4631-2,0,0,0
-1,PMUL1454-7,0,0,0
-1,PMUL3182-4,0,0,0
-1,SSNG0217-3,0,0,0
-1,PMUL0910-6,0,0,0
-1,PMUL4538-0,0,0,0
-1,WOZ20097-2,0,0,0
-1,PMUL0016-0,0,0,0
-1,PMUL0833-0,0,0,0
-1,PMUL2984-6,0,0,0
-1,MUL1311-3,0,0,0
-1,WOZ20008-1,0,0,0
-1,SNG01638-0,0,0,0
-1,SNG0576-1,0,0,0
-1,PMUL0233-3,0,0,0
-1,PMUL3411-8,0,0,0
-1,SNG0972-2,0,0,0
