round,selected_turn_id,max_entropy,least_confidence,select_turn_per_round_time
-1,MUL2643-6,0,0,0
-1,PMUL1675-7,0,0,0
-1,MUL0765-5,0,0,0
-1,PMUL1716-6,0,0,0
-1,MUL1241-6,0,0,0
-1,SNG02307-4,0,0,0
-1,SSNG0016-4,0,0,0
-1,MUL0491-7,0,0,0
-1,PMUL0310-10,0,0,0
-1,SNG0880-5,0,0,0
-1,PMUL3231-11,0,0,0
-1,WOZ20228-4,0,0,0
-1,PMUL2207-7,0,0,0
-1,SNG0408-4,0,0,0
-1,SSNG0151-4,0,0,0
-1,MUL0829-6,0,0,0
-1,MUL1456-5,0,0,0
-1,PMUL1743-7,0,0,0
-1,MUL0086-11,0,0,0
-1,PMUL0818-3,0,0,0
-1,SSNG0003-2,0,0,0
-1,PMUL3451-9,0,0,0
-1,PMUL4829-6,0,0,0
-1,PMUL3679-8,0,0,0
-1,MUL1572-8,0,0,0
-1,PMUL3753-11,0,0,0
-1,MUL2292-9,0,0,0
-1,SNG1355-2,0,0,0
-1,MUL1129-6,0,0,0
-1,SNG0790-4,0,0,0
-1,MUL1020-7,0,0,0
-1,PMUL1897-2,0,0,0
-1,MUL2105-8,0,0,0
-1,PMUL4331-5,0,0,0
-1,SNG0426-5,0,0,0
-1,WOZ20378-2,0,0,0
-1,PMUL0942-8,0,0,0
-1,PMUL1098-5,0,0,0
-1,WOZ20648-2,0,0,0
-1,SNG1258-6,0,0,0
-1,PMUL2374-5,0,0,0
-1,PMUL3203-4,0,0,0
-1,PMUL2357-7,0,0,0
-1,MUL1031-13,0,0,0
-1,PMUL0797-9,0,0,0
-1,MUL2035-7,0,0,0
-1,WOZ20359-7,0,0,0
-1,SNG01817-5,0,0,0
-1,SSNG0263-4,0,0,0
-1,SNG0092-2,0,0,0
-1,PMUL0280-10,0,0,0
-1,SSNG0122-6,0,0,0
-1,SNG0909-4,0,0,0
-1,SNG0040-2,0,0,0
-1,SNG0865-5,0,0,0
-1,MUL2153-7,0,0,0
-1,MUL1281-9,0,0,0
-1,WOZ20102-1,0,0,0
-1,MUL1911-5,0,0,0
